Club,matches_emery,opm_emery,matches_not,opm_not
Paris Saint-Germain,46,0.6239130434782609,323,0.3092879256965946
Aston Villa,125,0.25360000000000016,127,0.014960629921259891
Villarreal,117,0.20170940170940166,249,0.027309236947790985
Arsenal,71,0.29999999999999993,316,0.20126582278481
