bucket,xg_for,goals_for,shots_for,xg_against,goals_against,shots_against,minutes,xg_for_per_minute,xg_against_per_minute,xg_for_per_shot,xg_against_per_shot,xg_overperf_for_total,xg_overperf_for_per_shot,xg_overperf_for_per_minute,xg_overperf_against_total,xg_overperf_against_per_shot,xg_overperf_against_per_minute,xg_overperf_net_total,xg_overperf_net_per_shot_for,shots_total,xg_overperf_net_per_shot_all,xg_overperf_net_per_minute
<=-2,22.31,21,196,28.86,24,202,2047,0.01089887640449438,0.01409868099658036,0.11382653061224489,0.14287128712871286,-1.3099999999999987,-0.0066836734693877485,-0.0006399609184171952,4.859999999999999,0.024059405940594056,0.0023742061553492914,3.5500000000000007,0.018112244897959186,398,0.00891959798994975,0.001734245236932096
-1,76.01,90,669,70.3,58,552,7402,0.010268846257768171,0.009497433126182113,0.11361733931240658,0.12735507246376812,13.989999999999995,0.020911808669656196,0.001890029721696838,12.299999999999997,0.02228260869565217,0.0016617130505268843,26.289999999999992,0.039297458893871436,1221,0.021531531531531527,0.003551742772223722
0,248.65,267,1987,182.3,170,1772,21700,0.01145852534562212,0.008400921658986175,0.125138399597383,0.10287810383747178,18.349999999999994,0.009235027679919473,0.0008456221198156679,12.300000000000011,0.006941309255079013,0.0005668202764976964,30.650000000000006,0.01542526421741319,3759,0.008153764299015697,0.0014124423963133644
1,147.49,164,965,97.98,84,985,10989,0.013421603421603423,0.008916188916188917,0.15283937823834198,0.09947208121827411,16.50999999999999,0.01710880829015543,0.0015024115024115017,13.980000000000004,0.014192893401015233,0.0012721812721812726,30.489999999999995,0.03159585492227979,1950,0.015635897435897432,0.0027745927745927742
>=2,115.55,113,746,70.71000000000001,59,697,7946,0.014541907878177699,0.00889881701485024,0.15489276139410188,0.1014490674318508,-2.549999999999997,-0.003418230563002677,-0.00032091618424364424,11.710000000000008,0.016800573888091832,0.001473697457840424,9.16000000000001,0.012278820375335136,1443,0.006347886347886356,0.0011527812735967796
