bucket,xg_for,goals_for,shots_for,xg_against,goals_against,shots_against,minutes,xg_for_per_minute,xg_against_per_minute,xg_for_per_shot,xg_against_per_shot,xg_overperf_for_total,xg_overperf_for_per_shot,xg_overperf_for_per_minute,xg_overperf_against_total,xg_overperf_against_per_shot,xg_overperf_against_per_minute,xg_overperf_net_total,xg_overperf_net_per_shot_for,shots_total,xg_overperf_net_per_shot_all,xg_overperf_net_per_minute
<=-2,4007.96,3777,39537,5171.62,5626,38136,211879,0.018916268247443115,0.02440836515180834,0.10137238536054835,0.13560992238305014,-230.96000000000004,-0.00584161671345828,-0.0010900561169346658,-454.3800000000001,-0.011914726242920079,-0.0021445258850570376,-685.3400000000001,-0.017334142701773025,77673,-0.00882340066689841,-0.0032345820019917034
-1,8966.71,8492,85472,8960.220000000001,9079,71874,471425,0.019020438033621464,0.019006671262661083,0.1049081570572819,0.12466566491359882,-474.7099999999991,-0.005553982590789956,-0.001006968234607836,-118.77999999999884,-0.0016526142972423802,-0.0002519594845415471,-593.489999999998,-0.006943677461624836,157346,-0.0037718785352026615,-0.0012589277191493832
0,21807.27,21626,202036,21807.27,20960,202036,1099138,0.019840338519821896,0.019840338519821896,0.1079375457839197,0.1079375457839197,-181.27000000000044,-0.0008972163376823954,-0.00016492014651481473,847.2700000000004,0.004193658555900931,0.0007708495202604226,666.0,0.0032964422182185354,404072,0.0016482211091092677,0.0006059293737456079
1,8960.220000000001,9325,71874,8966.71,8179,85472,440866,0.02032413477110959,0.020338855797453193,0.12466566491359882,0.1049081570572819,364.77999999999884,0.005075270612460679,0.0008274169475532222,787.7099999999991,0.00921600056158741,0.0017867333838399856,1152.489999999998,0.016034866572056626,157346,0.00732455861604361,0.002614150331393208
>=2,5171.62,5770,38136,4007.96,3669,39537,192538,0.026860256157226106,0.020816462204863457,0.13560992238305014,0.10137238536054835,598.3800000000001,0.015690685966016367,0.0031078540340088714,338.96000000000004,0.008573235197410023,0.0017604836447870033,937.3400000000001,0.02457887560310468,77673,0.012067771297619509,0.004868337678795875
