player_id,full_name,emery_shots,emery_goals,emery_xg,emery_matches_with_shot,emery_goals_minus_xg,emery_goals_minus_xg_per_shot,not_emery_shots,not_emery_goals,not_emery_xg,not_emery_matches_with_shot,not_emery_goals_minus_xg,not_emery_goals_minus_xg_per_shot
aed3a70f,Ollie Watkins,288,54,50.480000000000004,100,3.519999999999996,0.012222222222222209,201.0,27.0,30.87,76.0,-3.870000000000001,-0.01925373134328359
81f0781e,Gerard Moreno,206,43,38.42,69,4.579999999999998,0.022233009708737855,424.0,65.0,69.69,161.0,-4.689999999999998,-0.011061320754716976
d5dd5f1f,Pierre-Emerick Aubameyang,186,40,37.84,60,2.1599999999999966,0.011612903225806433,527.0,102.0,104.65,182.0,-2.6500000000000057,-0.0050284629981024774
527f063d,Edinson Cavani,132,35,28.740000000000002,38,6.259999999999998,0.04742424242424241,201.0,48.0,49.45,90.0,-1.4500000000000028,-0.007213930348258721
f08490a6,Arnaut Danjuma,100,19,20.64,37,-1.6400000000000006,-0.016400000000000005,109.0,9.0,12.14,51.0,-3.1400000000000006,-0.02880733944954129
a7a9d95a,Paco Alcácer,76,14,19.490000000000002,38,-5.490000000000002,-0.07223684210526318,124.0,33.0,24.41,58.0,8.59,0.0692741935483871
69384e5d,Neymar,118,25,19.48,26,5.52,0.04677966101694915,392.0,79.0,74.24,115.0,4.760000000000005,0.012142857142857157
9dbb75ca,Alexandre Lacazette,124,22,18.24,46,3.7600000000000016,0.030322580645161305,481.0,110.0,103.17,183.0,6.829999999999998,0.014199584199584196
42fd9c7f,Kylian Mbappé,102,17,18.12,32,-1.120000000000001,-0.010980392156862756,1142.0,238.0,211.86,273.0,26.139999999999986,0.022889667250437815
3a233281,Leon Bailey,150,16,14.48,76,1.5199999999999996,0.010133333333333331,298.0,37.0,33.160000000000004,134.0,3.8399999999999963,0.012885906040268444
19cda00b,Ángel Di María,104,12,12.9,32,-0.9000000000000004,-0.008653846153846158,466.0,48.0,48.46,170.0,-0.46000000000000085,-0.0009871244635193152
90f91999,John McGinn,117,14,11.73,68,2.2699999999999996,0.019401709401709398,161.0,9.0,8.98,78.0,0.019999999999999574,0.0001242236024844694
b8a642fc,Samuel Chukwueze,101,11,11.57,54,-0.5700000000000003,-0.005643564356435646,267.0,22.0,22.3,126.0,-0.3000000000000007,-0.0011235955056179802
2e5915f1,Morgan Rogers,97,15,11.36,44,3.6400000000000006,0.03752577319587629,,,,,,
6f7d826d,Douglas Luiz,86,14,11.17,43,2.83,0.03290697674418605,133.0,6.0,9.33,87.0,-3.33,-0.025037593984962407
963829d0,Manu Trigueros,92,9,10.57,60,-1.5700000000000003,-0.01706521739130435,118.0,7.0,10.52,75.0,-3.5199999999999996,-0.02983050847457627
414184f7,Jáder Durán,92,17,10.51,44,6.49,0.07054347826086957,,,,,,
1544f145,Jacob Ramsey,73,8,9.55,44,-1.5500000000000007,-0.021232876712328777,53.0,7.0,5.42,31.0,1.58,0.029811320754716982
532e1e4f,Pau Torres,68,11,8.55,55,2.4499999999999993,0.03602941176470587,18.0,3.0,3.57,15.0,-0.5699999999999998,-0.031666666666666655
540ec57b,Yeremi Pino,58,12,8.08,35,3.92,0.06758620689655172,86.0,7.0,13.18,48.0,-6.18,-0.07186046511627907
aeed5c06,Moussa Diaby,63,9,7.99,34,1.0099999999999998,0.01603174603174603,338.0,47.0,42.26,143.0,4.740000000000002,0.01402366863905326
