Opponent,%
Qarabag FK,16.3
Galatasaray,10.8
Monaco,9.9
Marseille,9.5
Olympiacos,6.7
Athletic Club,6.6
Pafos FC,6.3
Bayer Leverkusen,6.1
Napoli,6
PSV Eindhoven,6
Benfica,4.4
Club Brugge,3.4
Ajax,2.5
Bodø/Glimt,2.3
Union St.Gilloise,2.2
FC København,0.8
Borussia Dortmund,0.1
