team,W,D,L
Tottenham Hotspur,1,0.204694,0.040867
Newcastle United,1,0.022343,2e-4
Liverpool,1,0.775772,0.15625
Chelsea,0.892958,0.010386,0
Manchester City,0.802996,0.004396,0
