Rank,Club,Elo
1,Real Madrid,1927.55688477
2,Liverpool,1918.62023926
3,FC Bayern,1869.65429688
4,Everton,1853.36779785
5,Manchester United,1850.67578125
6,PSV Eindhoven,1843.90002441
7,Werder,1821.91467285
8,Porto,1815.47302246
9,Forest,1806.83239746
10,Steaua,1796.80749512
11,Milan,1789.90979004
12,Koeln,1783.64221191
13,Anderlecht,1776.31542969
14,Sociedad,1769.54296875
15,Arsenal,1768.25280762
16,Mechelen,1761.90515137
17,Brugge,1760.70922852
18,Napoli,1759.31799316
19,Barcelona,1753.64990234
20,Ajax,1752.49560547
21,Hamburg,1751.90551758
22,Spartak Moskva,1749.16650391
23,Wimbledon,1748.46203613
24,Atletico,1743.92553711
25,QPR,1743.41381836
26,Celtic,1735.44250488
27,Luton,1728.64575195
28,Juventus,1727.7253418
29,Leverkusen,1725.29101562
30,Newcastle,1724.47546387
31,Benfica,1724.15063477
