Rank,Club,Elo
1,Liverpool,1904.15393066
2,Ajax,1900.34118652
3,FC Bayern,1898.77416992
4,Celtic,1882.36108398
5,Leeds United,1856.09069824
6,Tottenham Hotspur,1842.05603027
7,Arsenal,1830.78283691
