Rank,Club,Elo
1,Liverpool,1897.78833008
2,Everton,1894.59545898
3,Real Madrid,1877.04101562
4,FC Bayern,1868.27453613
5,Werder Bremen,1823.05529785
6,Juventus,1815.11608887
7,Barcelona,1807.72546387
8,West Ham,1807.44006348
9,Dynamo Kyiv,1806.53527832
10,Manchester United,1802.20788574
11,Anderlecht,1787.42504883
12,Roma,1785.6685791
13,Nottingham Forest,1783.10522461
14,Tottenham Hotspur,1779.96240234
15,Sheffield Wednesday,1769.55065918
16,Steaua Bucharest,1769.2286377
