Rank,Club,Elo
1,Manchester United,1906.20471191
2,Lazio,1905.46411133
3,Milan,1874.19958496
4,FC Bayern,1873.10913086
5,Barcelona,1870.57458496
6,Juventus,1850.52636719
7,Parma,1850.05163574
8,Arsenal,1836.3157959
9,Roma,1821.8626709
10,Bayer Leverkusen,1817.67907715
