team_name,matches,xg_for,xg_for_regularplay,xg_for_regularplay_pct,xg_for_fromcorner,xg_for_fromcorner_pct,xg_for_fastbreak,xg_for_fastbreak_pct,xg_for_penalty,xg_for_penalty_pct,xg_for_setpiece,xg_for_setpiece_pct,xg_for_throwinsetpiece,xg_for_throwinsetpiece_pct,xg_for_freekick,xg_for_freekick_pct,xg_for_individualplay,xg_for_individualplay_pct,xg_against,xg_against_regularplay,xg_against_regularplay_pct,xg_against_fromcorner,xg_against_fromcorner_pct,xg_against_fastbreak,xg_against_fastbreak_pct,xg_against_penalty,xg_against_penalty_pct,xg_against_setpiece,xg_against_setpiece_pct,xg_against_throwinsetpiece,xg_against_throwinsetpiece_pct,xg_against_freekick,xg_against_freekick_pct,xg_against_individualplay,xg_against_individualplay_pct
Chelsea,24,43.52589761853814,24.505635020323098,0.5630127432429076,7.068890483118594,0.16240654116017308,6.470702016726136,0.14866326418895484,3.1536,0.07245341675979242,1.1740046329796314,0.026972554208270032,0.4969868138432503,0.011418186436931248,0.656078651547432,0.0150732940029708,0.0,0.0,34.58507253602147,19.7021876857616,0.5696731636240212,4.9349316861480474,0.14268964394994854,2.30853627063334,0.06674949917276954,0.0,0.0,2.1193028544075787,0.06127796471151698,4.361269541084766,0.12610265705073664,0.7985426299273968,0.023089228137245885,0.3603018680587411,0.010417843353761223
Arsenal,24,43.125043030013146,24.246617953293025,0.5622398553067748,9.580329462885857,0.22215234559229,3.2489827796816826,0.07533865595033801,2.3651999999999997,0.05484516266694329,2.6298469565808773,0.0609818975658904,0.8056891411542892,0.01868262810992594,0.20688088797032833,0.004797233195253817,0.04149584844708443,0.0009622216125837864,17.211751490831375,11.790667080320418,0.6850358655597169,1.8424682430922985,0.10704710930051327,2.083388067781925,0.12104451245950983,0.0,0.0,0.921443379484117,0.05353571250287723,0.18940758891403675,0.011004550525548393,0.3161384053528309,0.018367590626743386,0.06823872588574886,0.003964659025091045
Manchester United,23,41.961623195248094,24.55573341343552,0.5851950316406328,5.667963792104274,0.13507494135131878,4.210091050714254,0.10033193976135371,3.1536,0.07515438536126806,2.094964189454913,0.04992571854780287,1.6988437585532665,0.04048565401410998,0.5046657398343086,0.012026840274650268,0.07576125115156174,0.0018054890488636115,29.07996604176387,15.918088940437883,0.547390217635631,5.915186489932239,0.20341105218063205,2.6683055497705936,0.09175751945302978,0.7884,0.027111448440748552,1.530765169300139,0.052639854087232936,1.650093481875956,0.056743308417421666,0.4662366658449173,0.016032916447540572,0.14288974460214376,0.0049136833377635076
Manchester City,23,41.79190062929392,26.565660358406603,0.635665283425408,5.589301227591932,0.1337412547270972,5.988954149186611,0.14330418236562972,2.3651999999999997,0.056594698120576006,0.6997417435050011,0.01674347739558222,0.05722421780228615,0.0013692657414622342,0.2873552478849888,0.0068758597612947015,0.23846368491649628,0.005705978462949967,27.368000766339897,16.735633896663785,0.6115037060817048,3.4393066884949803,0.12566890500547664,3.1979103107005358,0.11684851728861645,1.5768,0.05761473092105865,1.6061535142362118,0.05868727964271441,0.47464025020599365,0.0173428908548467,0.13814421743154526,0.005047654690270611,0.19941188860684633,0.007286315515311753
Liverpool,24,38.3851263784647,26.887452769093215,0.7004653965182188,3.5500154672190547,0.0924841417015818,4.493086481466889,0.11705279897131345,1.5768,0.04107841106092166,1.0386891588568687,0.02705967797567568,0.18673394806683064,0.004864747512505116,0.6361712478101254,0.016573379009819755,0.016177305951714516,0.0004214472499637388,27.368791884393247,13.473998186178505,0.49231249384675635,3.158300695475191,0.11539788489078968,3.7749404087662697,0.1379286460546652,2.3651999999999997,0.0864195982778739,1.1954283956438303,0.043678522628743076,2.8277591951191425,0.1033205706362085,0.43960386514663696,0.016062231281656104,0.1335611380636692,0.004880052383307097
AFC Bournemouth,24,38.35370967412963,21.111210275441408,0.5504346373482968,4.152883305680007,0.1082785300552351,3.1925158444792032,0.08323877589949587,3.1536,0.08222411930408828,1.8771050022915006,0.04894194116397681,3.419695645570755,0.08916205693337169,1.1670949049293995,0.030429778888289107,0.2796046957373619,0.00729016040724637,35.27616966993064,17.32492426969111,0.49112260292984283,6.05624651350081,0.17168095544860548,5.964143862947822,0.16907005263759262,2.3651999999999997,0.06704809570116375,1.7430610042065382,0.04941185566675401,0.7744443546980619,0.021953754104947435,0.5631600767374039,0.01596432044654329,0.4849895881488919,0.013748363064550526
Brentford,23,37.56022977995798,14.098075580317527,0.3753458288969312,3.84315191116184,0.10231971246386075,8.238815765827894,0.21934945057828428,5.5188,0.14693200846563548,1.8323550634086132,0.04878444764963478,3.3897619117051363,0.09024870006290278,0.35826411470770836,0.0095383898556147,0.2810054328292608,0.0074814620271360655,31.090916680404543,19.05444426741451,0.6128620929155113,2.8256926760077477,0.09088482996671106,2.48838472366333,0.08003574642852737,4.7303999999999995,0.1521473312808881,0.4145838264375925,0.013334564261943727,0.7407601736485958,0.0238256138042874,0.32491360791027546,0.010450435130304681,0.5117374053224921,0.01645938621182634
Brighton & Hove Albion,24,36.99911865704507,23.88505258085206,0.6455573388720184,6.344971780665219,0.17148980870270167,1.1749215889722109,0.03175539395580959,3.942,0.10654307840517702,0.48581599397584796,0.013130474768304864,0.24251384660601616,0.006554584417373377,0.6858816705644131,0.01853778401918266,0.23796119540929794,0.006431536859432389,34.781061629065874,19.83814121223986,0.5703719289482959,3.5365845980122685,0.10168132979175115,3.5852797403931618,0.10308137740674975,4.7303999999999995,0.136005049254934,1.0970973037183285,0.03154295045443653,1.5020307004451752,0.043185303440823,0.3624345865100622,0.010420457845000985,0.12909348774701357,0.003711602858008583
Newcastle United,24,36.35812292542904,19.728109765797853,0.5426052881294353,5.844905807636678,0.16075928396041378,2.5557713974267244,0.07029437143024801,3.1536,0.08673715104787098,2.5892902137711644,0.0712162786588799,2.0763635132461786,0.05710865540294326,0.27033712714910507,0.007435398348357253,0.13974510040134192,0.0038435730218515634,28.173716869321467,13.318013296928257,0.4727105535524964,3.162754858378321,0.11225905595091232,6.0422016978263855,0.21446235602678948,2.3651999999999997,0.08395058454553721,1.6898956447839737,0.059981281583194705,1.0873785130679607,0.03859549374019634,0.4416522867977619,0.015676039084451785,0.06662057153880596,0.0023646355164216727
Crystal Palace,23,35.947815768110004,18.855966263450682,0.5245371898277661,5.844230340793729,0.16257539480265884,3.466624218970537,0.0964349055679162,3.1536,0.08772716596588377,1.1130919405259192,0.03096410495998381,3.1033078841865063,0.08632813476638294,0.22223125211894512,0.006182051603705245,0.18876386806368828,0.0052510525057031235,33.14240515616238,15.907615940086544,0.4799777163163651,6.216236151754856,0.187561407280637,1.0714317671954632,0.03232812350663829,2.3651999999999997,0.07136476634256046,2.4082039846107364,0.07266231805638775,4.393557836301625,0.13256605293429352,0.7573077380657196,0.022850114060744577,0.022851738147437572,0.00068950150237327
Leeds United,24,35.66791432366371,18.361872924491763,0.5148008587737821,5.208085326477885,0.1460159761296333,1.7391280829906464,0.048758894820963225,3.1536,0.08841559871942832,3.267623810097575,0.09161241614651086,2.921037368476391,0.0818953791906594,0.31258052214980125,0.008763633312375127,0.7039862889796495,0.019737242906647703,35.2238305547893,20.522833574563265,0.5826405944873256,6.572043953463435,0.1865794790047288,1.9606838636100292,0.055663561649272116,3.1536,0.08953029668634982,1.3494130168110132,0.03830966125935831,0.8275611642748117,0.023494354567359516,0.7296837978065014,0.020715628774999544,0.10801118426024914,0.003066423570606324
Aston Villa,23,29.542904306203127,19.435861001722515,0.6578859275403591,4.120608274824917,0.13947878083062107,2.719866495579481,0.09206496651070255,0.0,0.0,1.287741451524198,0.04358885768904619,1.102445237338543,0.03731675213486246,0.7758494094014168,0.026261785278792363,0.10053243581205606,0.003402930015616212,34.02831912716999,20.147343847434968,0.5920757875856487,5.690982287450135,0.16724253308492562,2.135268060490489,0.06274973655062437,1.5768,0.046337875053634375,2.112797119654715,0.06208937655012607,1.8503842120990157,0.054377772971500433,0.4423459880053997,0.012999348758669878,0.0723976120352745,0.0021275694448706535
West Ham United,24,28.29773994267434,12.676033654250205,0.4479521573075927,6.044694128446281,0.21361049118027245,4.7275890707969666,0.16706595934424914,2.3651999999999997,0.08358264669869149,1.8944745985791087,0.0669479118267728,0.25273897498846054,0.008931419099209338,0.2817922607064247,0.00995811896205423,0.055217254906892776,0.0019512955811577914,41.43877798621506,25.620935858227313,0.6182840591184982,5.897078949026763,0.14230822518435446,1.5849823653697968,0.03824877186043116,4.7303999999999995,0.1141539454076953,1.808472870849073,0.04364204155466833,1.2859866563230753,0.031033411669399835,0.2743421867489815,0.006620421742172118,0.23657909967005253,0.005709123462780501
Everton,24,26.42735603828132,14.960476598702371,0.5660981210920755,4.808638269081712,0.18195684283044294,1.6979898996651173,0.06425122124231783,0.7884,0.02983272329089463,2.0736819049343467,0.07846724817762764,1.7836958076804876,0.06749429663325823,0.2880555894225836,0.010899901942718785,0.026417968794703484,0.0009996447906644827,34.22493221343011,21.154828518629074,0.6181116265389641,5.392027252353728,0.15754676207182838,2.3104680329561234,0.06750833043431066,2.3651999999999997,0.0691075145233415,1.4293624088168144,0.041763776182321334,1.0296705719083548,0.030085394048035678,0.4815822243690491,0.014071093592409593,0.06179320439696312,0.0018055026087886604
