Date,Team,Country
1940-07-13,Atletico,ESP
1940-07-14,Atletico,ESP
1940-07-15,Atletico,ESP
1940-07-16,Atletico,ESP
1940-07-17,Atletico,ESP
1940-07-18,Atletico,ESP
1940-07-19,Atletico,ESP
1940-07-20,Atletico,ESP
1940-07-21,Atletico,ESP
1940-07-22,Atletico,ESP
1940-07-23,Atletico,ESP
1940-07-24,Atletico,ESP
1940-07-25,Atletico,ESP
1940-07-26,Atletico,ESP
1940-07-27,Atletico,ESP
1940-07-28,Atletico,ESP
1940-07-29,Atletico,ESP
1940-07-30,Atletico,ESP
1940-07-31,Atletico,ESP
1940-08-01,Atletico,ESP
1940-08-02,Atletico,ESP
1940-08-03,Atletico,ESP
1940-08-04,Atletico,ESP
1940-08-05,Atletico,ESP
1940-08-06,Atletico,ESP
1940-08-07,Atletico,ESP
1940-08-08,Atletico,ESP
1940-08-09,Atletico,ESP
1940-08-10,Atletico,ESP
1940-08-11,Atletico,ESP
1940-08-12,Atletico,ESP
1940-08-13,Atletico,ESP
1940-08-14,Atletico,ESP
1940-08-15,Atletico,ESP
1940-08-16,Atletico,ESP
1940-08-17,Atletico,ESP
1940-08-18,Atletico,ESP
1940-08-19,Atletico,ESP
1940-08-20,Atletico,ESP
1940-08-21,Atletico,ESP
1940-08-22,Atletico,ESP
1940-08-23,Atletico,ESP
1940-08-24,Atletico,ESP
1940-08-25,Atletico,ESP
1940-08-26,Atletico,ESP
1940-08-27,Atletico,ESP
1940-08-28,Atletico,ESP
1940-08-29,Atletico,ESP
1940-08-30,Atletico,ESP
1940-08-31,Atletico,ESP
1940-09-01,Atletico,ESP
1940-09-02,Atletico,ESP
1940-09-03,Atletico,ESP
1940-09-04,Atletico,ESP
1940-09-05,Atletico,ESP
1940-09-06,Atletico,ESP
1940-09-07,Atletico,ESP
1940-09-08,Atletico,ESP
1940-09-09,Atletico,ESP
1940-09-10,Atletico,ESP
1940-09-11,Atletico,ESP
1940-09-12,Atletico,ESP
1940-09-13,Atletico,ESP
1940-09-14,Atletico,ESP
1940-09-15,Atletico,ESP
1940-09-16,Atletico,ESP
1940-09-17,Atletico,ESP
1940-09-18,Atletico,ESP
1940-09-19,Atletico,ESP
1940-09-20,Atletico,ESP
1940-09-21,Atletico,ESP
1940-09-22,Atletico,ESP
1940-09-23,Atletico,ESP
1940-09-24,Atletico,ESP
1940-09-25,Atletico,ESP
1940-09-26,Atletico,ESP
1940-09-27,Atletico,ESP
1940-09-28,Atletico,ESP
1940-09-29,Atletico,ESP
1940-09-30,Atletico,ESP
1940-10-01,Atletico,ESP
1940-10-02,Atletico,ESP
1940-10-03,Atletico,ESP
1940-10-04,Atletico,ESP
1940-10-05,Atletico,ESP
1940-10-06,Atletico,ESP
1940-10-07,Sevilla,ESP
1940-10-08,Sevilla,ESP
1940-10-09,Sevilla,ESP
1940-10-10,Sevilla,ESP
1940-10-11,Sevilla,ESP
1940-10-12,Sevilla,ESP
1940-10-13,Sevilla,ESP
1940-10-14,Sevilla,ESP
1940-10-15,Sevilla,ESP
1940-10-16,Sevilla,ESP
1940-10-17,Sevilla,ESP
1940-10-18,Sevilla,ESP
1940-10-19,Sevilla,ESP
1940-10-20,Sevilla,ESP
1940-10-21,Atletico,ESP
1940-10-22,Atletico,ESP
1940-10-23,Atletico,ESP
1940-10-24,Atletico,ESP
1940-10-25,Atletico,ESP
1940-10-26,Atletico,ESP
1940-10-27,Atletico,ESP
