Team,Country,total_days_number_two,spells,first_day_number_two,last_day_number_two
Rangers,SCO,109,5,1950-01-22,1968-02-24
QPR,ENG,84,1,1976-05-30,1976-08-21
Portsmouth,ENG,58,2,1949-04-07,1950-06-30
West Brom,ENG,21,1,1979-01-14,1979-02-03
Ipswich,ENG,14,1,1981-09-17,1981-09-30
Wolves,ENG,14,3,1954-04-20,1958-04-26
