Rank,Club,Elo
1,Chelsea,1961.25256348
2,Milan,1927.21447754
3,Arsenal,1907.02868652
4,Lyon,1886.55688477
5,Barcelona,1885.98937988
NA,⋮,NA
14,Liverpool,1799.58654785
