Team,Matches,contexGD,xGD
Barcelona,25,1.73,1.52
Real Madrid,25,1.12,1.21
Atletico Madrid,25,0.94,0.59
Athletic Club,25,0.33,0.4
Villarreal,25,0.27,0.46
