Team,Matches,contexGD,xGD
Bayern Munich,23,1.87,2.01
Borussia Dortmund,23,0.79,0.57
Hoffenheim,23,0.65,0.19
RasenBallsport Leipzig,23,0.6,0.75
Bayer Leverkusen,22,0.49,0.71
