Team,Matches,contexGD
Arsenal,31,1.07
Manchester City,30,0.99
Liverpool,30,0.64
Chelsea,30,0.63
Manchester United,30,0.36
Brentford,29,0.17
Newcastle United,30,0.16
Bournemouth,30,0.04
Crystal Palace,30,0.02
Brighton,30,0.02
Fulham,30,-0.02
Aston Villa,30,-0.03
Leeds,30,-0.1
Everton,30,-0.3
Tottenham,30,-0.36
Nottingham Forest,30,-0.41
Sunderland,30,-0.56
West Ham,30,-0.59
Wolves,30,-0.76
Burnley,30,-0.99
