competition_id,matches,team_matches,goals,xg,own_goals,goals_minus_xg,goals_minus_own_goals,adj_goals_minus_xg,goals_sd,goals_ci_low,goals_ci_high,xg_sd,xg_ci_low,xg_ci_high,own_goals_sd,own_goals_ci_low,own_goals_ci_high,goals_minus_xg_sd,goals_minus_xg_ci_low,goals_minus_xg_ci_high,goals_minus_own_goals_sd,goals_minus_own_goals_ci_low,goals_minus_own_goals_ci_high,adj_goals_minus_xg_sd,adj_goals_minus_xg_ci_low,adj_goals_minus_xg_ci_high
8,1058,2116,3264.0,3232.4,100,31.59999999999991,3164.0,-68.40000000000009,57.94340634549767,3146.0,3374.0,34.62681573407294,3163.2775,3299.4100000000003,10.202653616604369,81.0,121.0,48.06341856442954,-67.11000000000001,123.70249999999997,56.89100956640461,3049.975,3272.0,47.14408221337405,-163.8,20.31749999999991
9,3040,6080,8664.0,8345.0,295,319.0,8369.0,24.0,92.48524942081421,8479.0,8847.0,54.42939384346554,8239.9825,8458.4075,17.377851956421704,262.0,329.0,76.48243463805322,162.495,469.8099999999999,90.9890879340019,8188.0,8546.05,74.51941767966024,-128.505,173.80749999999992
11,3040,6080,8382.0,8023.1,259,358.89999999999964,8123.0,99.89999999999964,90.0144773401224,8201.975,8555.0,54.548616553322766,7918.5775,8131.110000000001,15.742963362967084,228.0,289.0,74.56151375451132,206.19,501.41499999999985,88.52614120466505,7945.95,8290.0,73.53030695718677,-49.01750000000003,239.30999999999995
12,3040,6080,7808.0,7813.5,216,-5.5,7592.0,-221.5,91.62041216324276,7630.975,7988.0,54.97979144222917,7707.4975,7917.2074999999995,14.860442797240768,188.0,246.0,72.95612272262595,-149.40499999999994,135.45499999999967,90.55638560166047,7417.0,7766.0,72.01830515873355,-363.90250000000003,-81.49250000000006
13,2790,5580,7627.0,7518.3,226,108.69999999999982,7401.0,-117.30000000000018,85.30874465702492,7452.0,7794.0,52.30626709799086,7412.597500000001,7620.304999999999,14.481045476382032,198.0,253.0,70.79104871540336,-30.13500000000002,250.5,83.89941457264655,7230.0,7565.049999999999,69.5236769220665,-252.2,22.80249999999997
19,1421,2842,4030.0,3964.9,144,65.09999999999991,3886.0,-78.90000000000009,61.616300830332285,3910.975,4149.0,37.887198047334394,3892.495,4037.9175,12.022107689030376,121.0,168.02499999999986,51.46144901387158,-32.59999999999999,164.50499999999997,60.60721026386204,3771.0,4005.0249999999996,50.810018226389985,-176.4025,23.119999999999873
20,2447,4894,7605.0,7201.0,197,404.0,7408.0,207.0,82.02698794375887,7436.9,7759.0,50.03351243489995,7101.5825,7299.2275,14.092562441163034,171.0,224.0,69.24480365237834,256.9925,538.1024999999998,81.80728552966946,7240.975,7562.0,68.50916500647882,60.494999999999976,335.8224999999998
882,575,1150,1642.0,1554.6,40,87.40000000000009,1602.0,47.40000000000009,41.357951446171896,1560.975,1722.0249999999999,24.30636681430106,1507.6974999999998,1601.5049999999999,6.1404317601533975,28.0,52.0,35.07206477442226,19.69,156.30499999999995,40.775239865548876,1525.0,1680.0249999999999,34.67564143071929,-19.30500000000001,115.8149999999999
