team_name,matches,mean_contexg_for,mean_contexg_against,contexg_diff,mean_goals_for,mean_goals_against,mean_gd,mean_xg_for,mean_xg_against,mean_xgd
Manchester City,12,2.1323883803628743,0.9557023325634225,1.1766860477994516,1.6666666666666667,0.9166666666666666,0.7500000000000001,1.9462020833333333,1.3028124166666666,0.6433896666666667
Arsenal,13,1.7322824347795451,0.8486307428207833,0.883651691958762,1.9230769230769231,0.9230769230769231,1.0,1.8785857692307693,0.7726705384615384,1.1059152307692308
Liverpool,13,1.9763889446923526,1.2367027166756688,0.7396862280166838,1.6923076923076923,1.2307692307692308,0.46153846153846145,1.911819076923077,1.3457122307692306,0.5661068461538463
Brighton,13,1.517041394508935,1.1644997888227016,0.3525416056862332,1.1538461538461537,0.7692307692307693,0.38461538461538447,1.3473076153846153,1.0994376153846153,0.24787000000000003
Chelsea,13,1.7193863121824908,1.3700793448996187,0.34930696728287225,1.6153846153846154,1.5384615384615385,0.07692307692307687,2.3376492307692307,1.4458538461538462,0.8917953846153845
Aston Villa,13,1.5980425549932513,1.2592154127039294,0.3388271422893218,1.0,1.1538461538461537,-0.15384615384615374,1.369062846153846,1.3084965384615386,0.06056630769230753
Manchester United,12,1.6090063050408634,1.2767202689259876,0.33228603611487556,1.9166666666666667,1.1666666666666667,0.75,1.83016575,1.05093,0.77923575
Brentford,13,1.6266819511348038,1.296342209166634,0.3303397419681699,1.5384615384615385,1.3846153846153846,0.15384615384615397,1.8723165384615386,1.5449823076923077,0.32733423076923085
Fulham,13,1.5247686223508468,1.5002216799077894,0.02454694244305726,1.3076923076923077,1.4615384615384615,-0.15384615384615374,1.4606922307692307,1.743370923076923,-0.28267869230769227
Bournemouth,13,1.4047190509332226,1.389457996492967,0.015261054440255738,1.4615384615384615,1.0769230769230769,0.3846153846153846,1.7058174615384614,1.5848343076923077,0.12098315384615366
Leeds,12,1.370409153442392,1.3904723122332463,-0.020063158790854536,1.0,1.3333333333333333,-0.33333333333333326,1.426398,1.6118595000000002,-0.18546150000000017
Crystal Palace,12,1.275239402413287,1.362974597733835,-0.0877351953205477,1.0833333333333333,1.25,-0.16666666666666674,1.5730748333333333,1.6563829166666666,-0.08330808333333328
Newcastle United,13,1.472789518582097,1.5907418489208864,-0.11795233033878946,1.4615384615384615,1.7692307692307692,-0.3076923076923077,1.6286335384615387,1.9809812307692307,-0.35234769230769203
West Ham,13,1.3000731486055712,1.4539622722504002,-0.15388912364482885,1.4615384615384615,1.4615384615384615,0.0,1.5435803076923078,1.4906512307692308,0.05292907692307702
Everton,13,1.2075973684633374,1.4781232678321656,-0.2705258993688282,1.4615384615384615,1.3076923076923077,0.15384615384615374,1.3919714615384615,1.557500153846154,-0.1655286923076924
Sunderland,13,1.15126110771089,1.6142817013912147,-0.4630205936803247,1.0,1.3846153846153846,-0.3846153846153846,1.2558774615384616,1.6392217692307691,-0.38334430769230754
Nottingham Forest,13,1.1343861408815423,1.699505812182757,-0.5651196713012147,1.0769230769230769,1.0769230769230769,0.0,1.2637972307692307,1.823905923076923,-0.5601086923076923
Tottenham,13,1.2207265225450459,1.8521337883110658,-0.6314072657660197,1.0,2.1538461538461537,-1.1538461538461537,1.3454022307692308,1.9091862307692307,-0.5637839999999998
Wolverhampton Wanderers,13,0.9395820487416647,1.7982007083794849,-0.8586186596378199,1.0,1.3846153846153846,-0.3846153846153846,1.0674159230769231,1.974160846153846,-0.9067449230769229
Burnley,13,0.9063630582506337,2.173382023800864,-1.2670189655502304,1.0,2.0,-1.0,0.9497921538461539,2.173853076923077,-1.224060923076923
