Date,Opponent,Venue,Score,ContexG,Opp. contexG
Jan 1,Sunderland,A,0-0,2.307528742817510,1.2055655635698200
Jan 4,Chelsea,H,1-1,1.7090930698501400,0.9087952584733230
Jan 7,Brighton,H,1-1,2.521406088610080,0.7680660697544720
Feb 1,Tottenham,A,2-2,2.0518732575751000,1.2988621122761700
Mar 4,Nottingham Forest,H,2-2,2.945770999097610,0.8734177725764080
