Team,Matches,contexGD
Manchester City,32,1.03
Arsenal,33,0.97
Liverpool,33,0.61
Chelsea,33,0.52
Manchester United,33,0.31
Brentford,33,0.17
Newcastle United,33,0.12
Brighton,33,0.08
Aston Villa,33,0.07
Bournemouth,33,0.04
Crystal Palace,31,0.03
Fulham,33,0.01
Leeds,33,-0.02
Everton,33,-0.29
Tottenham,33,-0.35
Nottingham Forest,33,-0.36
Sunderland,33,-0.52
West Ham,32,-0.56
Wolves,33,-0.81
Burnley,33,-1.02
