coach_id,coach_name,team_id,team_name,games_played,win,draw,loss,points,goals_for,goals_against,goal_difference,xg_for,xg_against,xg_diff,xg_non_penalty_diff,xg_open_play_diff,xg_set_play_diff,field_tilt,shot_share
11797,Mitchell van der Gaag,10260,Man U,1,1.0,0.0,0.0,3.0,3.0,0.0,3.0,2.22,2.47,-0.25,-1.0400000000000003,-0.3999999999999999,-0.64,0.3953488372093023,0.2727272727272727
30839,Johnny Heitinga,8650,Liverpool,2,1.0,0.0,0.0,3.0,2.5,0.5,2.0,2.91,0.295,2.615,1.8250000000000002,1.8499999999999999,-0.02,0.7663854639844256,0.8117647058823529
1325069,Rui Pedro Silva,10203,Nottm For,3,1.0,0.0,0.0,3.0,2.3333333333333335,0.3333333333333333,2.0,1.8866666666666667,0.62,1.2666666666666666,1.2666666666666666,0.7033333333333333,0.5733333333333334,0.6389910286257189,0.6570827489481066
1040914,Arno Michels,8455,Chelsea,1,1.0,0.0,0.0,3.0,2.0,1.0,1.0,1.75,2.52,-0.77,-0.77,-0.6000000000000001,-0.16,0.2894736842105263,0.2916666666666667
191606,Juan Manuel Lillo,8456,Man C,4,0.75,0.0,0.25,2.25,2.5,1.0,1.5,2.2425,0.665,1.5775000000000001,1.1825,1.2825000000000002,-0.105,0.8132017444920671,0.7901709401709401
41636,Pep Guardiola,8456,Man C,169,0.6863905325443787,0.17751479289940827,0.13609467455621302,2.2366863905325443,2.3431952662721893,0.8994082840236687,1.4437869822485205,2.0935502958579884,0.9608284023668638,1.1327218934911243,1.034733727810651,0.841301775147929,0.19547619047619044,0.6894230723841326,0.6709351759026279
24011,Mikel Arteta,9825,Arsenal,171,0.6491228070175439,0.1871345029239766,0.16374269005847952,2.134502923976608,2.0350877192982457,0.9649122807017544,1.0701754385964914,1.820877192982456,0.9623391812865497,0.8585380116959065,0.8077777777777777,0.6026315789473684,0.2035672514619883,0.6570609146524884,0.625869449823147
78660,Jürgen Klopp,8650,Liverpool,111,0.6306306306306306,0.23423423423423423,0.13513513513513514,2.126126126126126,2.2432432432432434,0.990990990990991,1.2522522522522523,2.2482882882882884,1.1555855855855857,1.0927027027027028,0.9721621621621621,0.8021621621621621,0.16954954954954954,0.6690597885614457,0.6555535974993615
34602,Ruud van Nistelrooy,10260,Man U,2,0.5,0.5,0.0,2.0,2.0,0.5,1.5,1.37,0.8700000000000001,0.49999999999999994,0.10499999999999993,0.34,-0.22999999999999998,0.5151098901098901,0.5641304347826087
1447596,Andrea Maldera,10204,Brighton,3,0.6666666666666666,0.0,0.3333333333333333,2.0,2.0,0.6666666666666666,1.3333333333333335,2.41,1.1333333333333333,1.2766666666666666,0.49000000000000005,0.25333333333333324,0.2366666666666667,0.6413731858934588,0.5737466195132099
28955,Wilfredo Caballero,8455,Chelsea,3,0.6666666666666666,0.0,0.3333333333333333,2.0,1.6666666666666667,0.6666666666666666,1.0,1.5633333333333332,1.28,0.28333333333333327,0.28333333333333327,-0.0333333333333334,0.32,0.606587029270979,0.5904022988505747
34944,Michael Carrick,10260,Man U,2,0.5,0.5,0.0,2.0,2.0,1.5,0.5,1.42,2.275,-0.855,-0.855,-0.49000000000000005,-0.375,0.3285377358490566,0.28136200716845877
26630,Arne Slot,8650,Liverpool,57,0.5789473684210527,0.24561403508771928,0.17543859649122806,1.9824561403508771,1.9824561403508771,1.1929824561403508,0.7894736842105263,1.9266666666666665,1.0849122807017544,0.8417543859649123,0.8003508771929824,0.8056140350877193,-0.0050877192982456175,0.6124177406153394,0.594304662467078
179347,Thomas Tuchel,8455,Chelsea,43,0.5348837209302325,0.27906976744186046,0.18604651162790697,1.8837209302325582,1.9069767441860466,0.9534883720930233,0.9534883720930233,1.658139534883721,0.9455813953488373,0.7125581395348838,0.6397674418604651,0.5972093023255813,0.04232558139534884,0.6436273141591546,0.6231394274492271
96940,Unai Emery,10252,A Villa,121,0.5537190082644629,0.19834710743801653,0.24793388429752067,1.859504132231405,1.7024793388429753,1.3305785123966942,0.3719008264462811,1.5038842975206612,1.451487603305785,0.05239669421487605,0.032809917355371906,0.029669421487603296,0.0019008264462809944,0.5113980148228184,0.5153194219584343
22169,Antonio Conte,8586,Spurs,52,0.5576923076923077,0.17307692307692307,0.2692307692307692,1.8461538461538463,2.0576923076923075,1.2115384615384615,0.846153846153846,1.7009615384615384,1.1123076923076924,0.5886538461538462,0.528076923076923,0.43942307692307697,0.08942307692307692,0.5141591402977382,0.5122480544863814
37074,Jason Tindall,10261,Newcastle,4,0.5,0.25,0.25,1.75,3.25,2.0,1.25,1.56,1.4575,0.10250000000000004,0.2975000000000001,0.15249999999999997,0.14250000000000002,0.57745661482984,0.539695598519128
34000,Enzo Maresca,8455,Chelsea,54,0.48148148148148145,0.2777777777777778,0.24074074074074073,1.7222222222222223,1.6851851851851851,1.1481481481481481,0.537037037037037,1.805,1.3218518518518518,0.48314814814814816,0.46851851851851856,0.4796296296296297,-0.01055555555555556,0.5854004488062978,0.5863043051405841
37915,Mauricio Pochettino,8455,Chelsea,37,0.4864864864864865,0.24324324324324326,0.2702702702702703,1.7027027027027026,2.054054054054054,1.5945945945945945,0.45945945945945943,2.02,1.5297297297297299,0.49027027027027026,0.34108108108108104,0.38189189189189193,-0.04054054054054054,0.5239201559510565,0.5032401880490055
