host_confederation,same_confederation_as_host,match_scope,mean_residual,total_residual,mean_win_probability_residual,total_win_probability_residual,mean_goal_difference_residual,total_goal_difference_residual,n_team_matches,teams,tournaments
AFC,True,neutral_cross_confederation,0.0032477678468559312,0.07794642832454235,0.08393187705488125,2.01436504931715,-0.40481124029884286,-9.715469767172229,24,6,2
AFC,False,neutral_cross_confederation,-0.00046396683526513306,-0.07794642832454235,-0.0048662536545059165,-0.817530613956994,0.05783017718554898,9.715469767172229,168,35,2
CAF,True,neutral_cross_confederation,-0.03133295552105638,-0.5326602438579585,-0.053725845201441365,-0.9133393684245033,0.41851126644726533,7.114691529603511,17,5,1
CAF,False,neutral_cross_confederation,0.006417593299493476,0.5326602438579585,-0.021175156380391393,-1.7575379795724857,-0.08571917505546399,-7.114691529603511,83,26,1
CONCACAF,True,neutral_cross_confederation,-0.045892652948087344,-0.4130338765327861,-0.049504631794578396,-0.44554168615120554,0.17419166336747244,1.567724970307252,9,3,3
CONCACAF,False,neutral_cross_confederation,0.0027720394398173566,0.4130338765327861,-0.0054313715164949665,-0.80927435595775,-0.010521644096021819,-1.567724970307251,149,39,3
CONMEBOL,True,neutral_cross_confederation,0.08832954338599516,5.0347839730017245,0.12207629706138579,6.95834893249899,0.19610348910821077,11.177898879168014,57,9,5
CONMEBOL,False,neutral_cross_confederation,-0.03379049646309882,-5.0347839730017245,-0.02102094991921181,-3.13212153796256,-0.075019455564886,-11.177898879168014,149,38,5
UEFA,True,neutral_cross_confederation,0.026891497160804495,5.754780392412162,0.027638961329389627,5.91473772448938,0.15868165580171845,33.957874341567745,214,33,11
UEFA,False,neutral_cross_confederation,-0.01821133035573469,-5.754780392412162,-0.011729262264868156,-3.706446875698337,-0.10746162766318906,-33.957874341567745,316,41,11
