year,mean_residual,total_residual,mean_home_win_probability_residual,total_home_win_probability_residual,mean_expected_result,mean_observed_result,mean_goal_difference_residual,total_goal_difference_residual,mean_expected_goal_difference,mean_observed_goal_difference,matches
1930,0.20462060964976536,0.8184824385990614,0.30241086950777357,1.2096434780310943,0.7953793903502346,1.0,1.3930948231325202,5.572379292530081,1.6069051768674798,3.0,4
1934,0.2242424136799827,1.1212120683999136,0.2519681150391227,1.2598405751956134,0.6757575863200173,0.9,0.9676052561498094,4.838026280749047,0.8323947438501907,1.8,5
1938,0.04326942756035719,0.08653885512071438,0.16425252834467,0.32850505668934,0.4567305724396428,0.5,0.24886276617737035,0.4977255323547407,-0.2488627661773704,0.0,2
1950,0.03178779237022927,0.19072675422137564,0.07029156785167263,0.42174940711003583,0.7182122076297707,0.75,1.6347924088842827,9.808754453305696,1.031874257782384,2.6666666666666665,6
1954,0.15751267494775711,0.6300506997910285,0.2919587458347783,1.1678349833391133,0.3424873250522429,0.5,0.7035362206843944,2.8141448827375775,-0.7035362206843945,0.0,4
1958,0.1433513630028818,0.8601081780172908,0.19046941546256088,1.1428164927753652,0.6066486369971181,0.75,0.3103145446734805,1.8618872680408831,0.5230187886598529,0.8333333333333334,6
1962,0.26994065272707657,1.6196439163624594,0.4040409081979485,2.424245449187691,0.39672601393959006,0.6666666666666666,0.8070900197954337,4.842540118772602,-0.4737566864621004,0.3333333333333333,6
1966,0.11937755594293925,0.7162653356576355,0.13886535813224957,0.8331921487934975,0.7972891107237273,0.9166666666666666,-0.1986435927288037,-1.191861556372822,1.5319769260621372,1.3333333333333333,6
1970,0.07603232223102882,0.3041292889241153,0.07427333747647055,0.2970933499058822,0.5489676777689712,0.625,0.161682102009991,0.646728408039964,0.33831789799000894,0.5,4
1974,0.027086968264420887,0.1896087778509462,0.11859523381423395,0.8301666366996376,0.8300558888784363,0.8571428571428571,-0.5883405461537147,-4.118383823076003,1.8740548318680001,1.2857142857142858,7
1978,0.1195867605108116,0.8371073235756812,0.17649666882779197,1.2354766817945437,0.6661275252034741,0.7857142857142857,0.7895734902595637,5.527014431816946,0.7818550811690078,1.5714285714285714,7
1982,-0.24531531921041344,-1.2265765960520671,-0.3298742662997184,-1.649371331498592,0.6453153192104134,0.4,-1.078685590446264,-5.3934279522313195,0.878685590446264,-0.2,5
1986,0.1322905661060134,0.661452830530067,0.056284755342814886,0.2814237767140744,0.6677094338939866,0.8,-0.050546276399880075,-0.2527313819994004,0.8505462763998801,0.8,5
1990,0.1423227481169609,0.9962592368187263,0.1763397984264599,1.2343785889852192,0.7862486804544676,0.9285714285714286,-0.3423557947778246,-2.396490563444772,1.4852129376349674,1.1428571428571428,7
1994,0.06416173029283392,0.2566469211713357,0.06740107828538233,0.26960431314152933,0.3108382697071661,0.375,0.6237133270040662,2.494853308016265,-0.8737133270040662,-0.25,4
1998,0.1482040722447671,1.0374285057133696,0.18007282587533194,1.2605097811273236,0.7803673563266614,0.9285714285714286,0.3501055168649318,2.4507386180545225,1.5070373402779254,1.8571428571428572,7
2002,0.021304627574791155,0.2343509033227027,0.02493593138173191,0.274295245199051,0.5696044633342997,0.5909090909090909,0.06041379033522307,0.6645516936874538,0.3032225733011406,0.36363636363636365,11
2006,0.11418220635186582,0.7992754444630608,0.1709089734522881,1.1963628141660165,0.6715320793624199,0.7857142857142857,0.34066392508565435,2.3846474755995803,0.8021932177714886,1.1428571428571428,7
2010,0.16463262328235242,0.4938978698470573,0.13224547094243333,0.3967364128273,0.33536737671764755,0.5,0.06401311501360607,0.1920393450408182,-0.7306797816802728,-0.6666666666666666,3
2014,-0.25349305737103156,-1.7744514015972208,-0.3035871598316202,-2.1251101188213415,0.824921628799603,0.5714285714285714,-2.2449109975944617,-15.714376983161232,1.816339569023033,-0.42857142857142855,7
2018,0.05325424638753031,0.26627123193765156,-0.021931491002911717,-0.10965745501455859,0.5467457536124697,0.6,0.5466373023960492,2.733186511980246,0.2533626976039507,0.8,5
2022,-0.386848276828545,-1.160544830485635,-0.2544161844534738,-0.7632485533604214,0.386848276828545,0.0,-1.4450247011047275,-4.335074103314183,-0.5549752988952726,-2.0,3
