team_name,matches,xg_for,xg_for_regularplay,xg_for_regularplay_pct,xg_for_fromcorner,xg_for_fromcorner_pct,xg_for_fastbreak,xg_for_fastbreak_pct,xg_for_penalty,xg_for_penalty_pct,xg_for_setpiece,xg_for_setpiece_pct,xg_for_throwinsetpiece,xg_for_throwinsetpiece_pct,xg_for_freekick,xg_for_freekick_pct,xg_for_individualplay,xg_for_individualplay_pct,xg_against,xg_against_regularplay,xg_against_regularplay_pct,xg_against_fromcorner,xg_against_fromcorner_pct,xg_against_fastbreak,xg_against_fastbreak_pct,xg_against_penalty,xg_against_penalty_pct,xg_against_setpiece,xg_against_setpiece_pct,xg_against_throwinsetpiece,xg_against_throwinsetpiece_pct,xg_against_freekick,xg_against_freekick_pct,xg_against_individualplay,xg_against_individualplay_pct
Manchester United,22,41.22758207345977,23.859089512377977,0.578716682192654,5.667963792104274,0.1374798983361438,4.172693829983473,0.10121121880367662,3.1536,0.07649248006785554,2.094964189454913,0.05081462661870595,1.6988437585532665,0.041206485394322846,0.5046657398343086,0.012240973504948446,0.07576125115156174,0.0018376350816928697,27.881685382259636,15.528498846571892,0.5569426178394602,5.393389564007521,0.1934384342289146,2.6683055497705936,0.09570101352152709,0.7884,0.028276626365694436,1.2438715295866132,0.04461249427834284,1.650093481875956,0.059181984849662854,0.4662366658449173,0.01672196854145593,0.14288974460214376,0.005124860374942063
Manchester City,22,40.87048721511364,25.72609888482839,0.6294541767859093,5.507449286989868,0.13475369789458366,5.988954149186611,0.1465349340629327,2.3651999999999997,0.05787060936052076,0.6997417435050011,0.01712095429208001,0.05722421780228615,0.0014001354449507274,0.2873552478849888,0.007030874047880855,0.23846368491649628,0.005834618111141918,26.78047178414017,16.422643930651248,0.6132320618928381,3.296654031611979,0.12309917682496957,3.1979103107005358,0.11941202292763156,1.5768,0.05887872374727195,1.5232547037303448,0.056879308027442635,0.47464025020599365,0.017723371493667386,0.08915666863322258,0.0033291672137763686,0.19941188860684633,0.007446167872402505
Arsenal,22,39.53961906221211,22.55453736241907,0.5704287976809157,8.05738187674433,0.2037799571125546,3.1654806286096573,0.08005845032621715,2.3651999999999997,0.059818482223578474,2.3429533168673515,0.05925583939442918,0.8056891411542892,0.020376755271380036,0.20688088797032833,0.005232242820671071,0.04149584844708443,0.001049475170253774,16.325878522358835,11.045666247606277,0.6765740803766774,1.73899332806468,0.10651759571058125,2.0459908470511436,0.12532194480371092,0.0,0.0,0.921443379484117,0.056440661261944934,0.18940758891403675,0.01160167819787687,0.3161384053528309,0.01936425074582472,0.06823872588574886,0.004179788903383891
Chelsea,22,38.527836779248716,20.99302279110998,0.544879353372285,7.042678947560489,0.18279455937047862,5.994749849662185,0.15559528773987608,2.3651999999999997,0.061389379672463426,1.092329952865839,0.02835170734148701,0.4969868138432503,0.01289942170101099,0.5428684242069721,0.014090290802398845,0.0,0.0,31.58243002416566,18.41363111557439,0.5830340192785985,3.9726742561906576,0.1257874790872938,2.2204429153352976,0.07030627198845371,0.0,0.0,1.6771224467083812,0.05310302106028927,4.176518853753805,0.1322418461960683,0.7617385685443878,0.02411906138829516,0.3603018680587411,0.011408301001001252
Brentford,22,35.75154477710947,13.72218192787841,0.38382067162211875,3.5393841778859496,0.09899947540594385,7.51174308732152,0.21010960880580018,5.5188,0.15436535776024715,1.5194461084902287,0.0425001525937721,3.300719927996397,0.09232384078994367,0.35826411470770836,0.010020940827628042,0.2810054328292608,0.00785995219454627,30.554653594502806,18.665644940920174,0.6108936854148586,2.8256926760077477,0.09247994474125303,2.353886052966118,0.07703854490399505,4.7303999999999995,0.15481766092910515,0.40161873772740364,0.013144273964200997,0.7407601736485958,0.024243775873861274,0.32491360791027546,0.010633850156584062,0.5117374053224921,0.0167482640161419
Liverpool,22,35.505211953151225,25.50533307623118,0.7183546210028323,3.076811491511762,0.08665802349163791,3.574051348492503,0.10066272391806669,1.5768,0.04441038127248957,0.9823258854448795,0.027667089742797447,0.18673394806683064,0.005259339060226544,0.5869788974523544,0.016532189646603638,0.016177305951714516,0.00045563186534586274,24.538439442985506,12.547254039905965,0.511330562363561,3.0404784898273647,0.12390675849178778,3.0550379380583763,0.12450009077214083,2.3651999999999997,0.09638754760650069,1.1522768707945943,0.04695803388279368,1.869068931788206,0.07616902191889359,0.39272795990109444,0.016004602118793607,0.11639521270990372,0.004743382845528759
AFC Bournemouth,22,34.493666236909476,19.34814869519323,0.5609188818116994,4.007862589787692,0.11619126138291247,2.246120871976018,0.06511690745046367,3.1536,0.09142548021252474,1.8771050022915006,0.054418831254386346,2.4610053822398186,0.07134658767024461,1.120218999683857,0.03247607812953156,0.2796046957373619,0.008105972088237311,32.89445815712661,16.198623325675726,0.49244232108338537,5.2303895596414804,0.15900518970878116,5.843177175149322,0.17763409104470668,2.3651999999999997,0.07190268916126158,1.6630393546074629,0.05055682469866628,0.7461566254496574,0.022683353587570863,0.3628825284540653,0.011031722326012735,0.4849895881488919,0.014743808389615276
Leeds United,22,34.284315527571735,17.249785172753036,0.5031392608343198,5.012656262144446,0.14620843919468732,1.6761198043823242,0.048888822150594625,3.1536,0.09198375267150509,3.267623810097575,0.09530958281695094,2.907963667064905,0.08481906732909095,0.31258052214980125,0.009117303855706886,0.7039862889796495,0.020533771147144466,32.23247528464198,18.86058508232236,0.5851423111556371,5.556445080786943,0.17238654592048844,1.6735939271748066,0.05192260018492079,3.1536,0.09783921253800253,1.3494130168110132,0.04186501362040839,0.8275611642748117,0.0256747630135972,0.7296837978065014,0.02263815581529907,0.08159321546554565,0.0025313977516465487
Brighton & Hove Albion,22,34.16753292196244,21.88702034438029,0.6405794762639009,5.557434263639152,0.16265248873344632,1.1289056073874235,0.03304030203075557,3.942,0.11537268461856473,0.48581599397584796,0.014218644204878247,0.24251384660601616,0.007097786286177292,0.6858816705644131,0.02007407652554093,0.23796119540929794,0.006964541336736069,32.404889344470206,17.769439077936113,0.5483567275618059,3.3463264601305127,0.103266097426176,3.5852797403931618,0.11064008589200687,4.7303999999999995,0.14597797109303284,1.031860563904047,0.031842743017424645,1.4831203483045101,0.04576841267805779,0.32936966605484486,0.010164196598654664,0.12909348774701357,0.003983765732841269
Crystal Palace,22,34.06178437375128,18.158836507238448,0.5331146574115484,4.881972910836339,0.14332698655090098,3.466624218970537,0.10177459233879685,3.1536,0.09258469742501893,1.1080024810507894,0.03252919661791527,2.918557196855545,0.08568421327640856,0.18542719073593616,0.005443848410913852,0.18876386806368828,0.005541807968497201,30.938656196075677,14.968219147063792,0.4838031442672158,6.216236151754856,0.20092133647819313,0.5954796001315117,0.019247106156053524,1.5768,0.05096536804982514,2.4082039846107364,0.07783802791396602,4.393557836301625,0.142008683520615,0.7573077380657196,0.024477719176496687,0.022851738147437572,0.0007386144376346939
