Team,Elo
Napoli,1856
Tottenham Hotspur,1807
Sporting CP,1796
PSV Eindhoven,1790
Marseille,1749
Olympiacos,1692
Slavia Prague,1681
Ajax,1666
Bodø/Glimt,1658
