Team,Elo
Arsenal,2000
Atletico Madrid,1840
Bayer Leverkusen,1840
Atalanta,1834
Juventus,1826
Benfica,1813
Villarreal,1787
Eintracht Frankfurt,1756
Club Brugge,1738
