Team,Matches,contexGD
Arsenal,30,1.06
Manchester City,29,0.98
Chelsea,29,0.64
Liverpool,29,0.6
Manchester United,29,0.35
Newcastle United,29,0.17
Brentford,29,0.17
Crystal Palace,29,0.04
Bournemouth,29,0.02
Brighton,29,-0.01
Aston Villa,29,-0.01
Fulham,29,-0.02
Leeds,29,-0.12
Everton,29,-0.26
Tottenham,29,-0.31
Nottingham Forest,29,-0.42
Sunderland,29,-0.56
West Ham,29,-0.57
Wolves,30,-0.76
Burnley,29,-1.01
