scenario,ref_team,ref_elo,n_matches,n_ok,mean_points,var_points,sd_points
easy_home,p10,1655.63,8,8,8.34274213358633,8.493846702496256,2.914420474553433
hard_home,p10,1655.63,8,8,7.894542678095066,10.279470834756886,3.206161386261909
easy_home,p50,1801.805,8,8,11.249303562979104,9.819422307068793,3.1335957472317313
hard_home,p50,1801.805,8,8,11.330719323818244,12.09189712388941,3.4773405245804456
easy_home,p90,1949.33,8,8,14.306664121675976,10.092940612937971,3.176938874598939
hard_home,p90,1949.33,8,8,14.942275085174373,11.89825467208874,3.449384680213087
