season,team,pot,n,mean_opp_elo,mean_opp_elo_start,mean_opp_elo_final,start_date,elo_start,final_date,elo_final
2025/2026,Manchester City,1,8,1796.99,1799.11,1774.55,2025-09-16,1945.48,2026-01-29,1956.38
2025/2026,Bayer Leverkusen,2,8,1808.44,1815.95,1804.30,2025-09-16,1839.79,2026-01-29,1804.83
2025/2026,Pafos FC,4,8,1725.47,1737.56,1725.58,2025-09-16,1524.84,2026-01-29,1549.43
2025/2026,Chelsea,1,8,1747.46,1762.55,1755.97,2025-09-16,1913.25,2026-01-29,1906.26
2025/2026,Napoli,3,8,1762.02,1773.95,1767.96,2025-09-16,1855.82,2026-01-29,1802.74
2025/2026,Inter,1,8,1757.55,1757.69,1749.22,2025-09-16,1912.99,2026-01-29,1916.19
2025/2026,Bodø/Glimt,3,8,1806.51,1800.73,1796.49,2025-09-16,1657.88,2026-01-29,1676.69
2025/2026,Atletico Madrid,2,8,1833.03,1822.55,1808.95,2025-09-16,1840.45,2026-01-29,1874.28
2025/2026,Juventus,2,8,1756.69,1764.58,1758.05,2025-09-16,1825.79,2026-01-29,1822.50
2025/2026,Union St.Gilloise,4,8,1843.48,1829.79,1838.52,2025-09-16,1735.23,2026-01-29,1699.45
2025/2026,Paris Saint-Germain,1,8,1858.16,1852.23,1842.98,2025-09-16,1981.32,2026-01-29,1957.47
2025/2026,PSV Eindhoven,3,8,1843.48,1846.75,1834.74,2025-09-16,1790.37,2026-01-29,1790.52
2025/2026,Galatasaray,4,8,1791.52,1797.69,1764.69,2025-09-16,1714.38,2026-01-29,1713.34
2025/2026,Eintracht Frankfurt,2,8,1804.41,1817.59,1804.59,2025-09-16,1756.03,2026-01-29,1689.04
2025/2026,Club Brugge,2,8,1799.35,1791.57,1791.79,2025-09-16,1738.18,2026-01-29,1709.81
2025/2026,Monaco,4,8,1772.40,1770.09,1770.52,2025-09-16,1767.65,2026-01-29,1671.62
