season,team,ref_elo_p10,ref_elo_p50,ref_elo_p90,n_used_p10,n_used_p50,n_used_p90,n_ok_p10,n_ok_p50,n_ok_p90,n_bad_p10,n_bad_p50,n_bad_p90,total_exp_pts_p10,total_exp_pts_p50,total_exp_pts_p90,mean_exp_pts_p10,mean_exp_pts_p50,mean_exp_pts_p90,n_sched
2025/2026,Real Madrid,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,8.93540240119244,12.347876580283188,15.738352966927962,1.1169253001490551,1.5434845725353985,1.967294120865995,8
2025/2026,Chelsea,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,8.895354897284207,12.307391007714541,15.779283914879642,1.111919362160526,1.5384238759643176,1.9724104893599552,8
2025/2026,Tottenham Hotspur,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,8.660050437006003,12.242307222397729,15.794970027721908,1.0825063046257504,1.5302884027997161,1.9743712534652385,8
2025/2026,FC København,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,8.914094389599365,12.178494990099098,15.501839678272308,1.1142617986999208,1.5223118737623873,1.9377299597840385,8
2025/2026,Juventus,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,8.552255316484102,12.141866453938718,15.706565538755935,1.0690319145605127,1.5177333067423395,1.963320692344492,8
2025/2026,Arsenal,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,8.804796719259464,12.02917314223235,15.349943686372256,1.1005995899074332,1.5036466427790438,1.918742960796532,8
2025/2026,Napoli,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,8.477008697792517,11.977193676225653,15.557439757195176,1.0596260872240646,1.4971492095282066,1.944679969649397,8
2025/2026,Ajax,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,8.323652011750331,11.886398930258144,15.54848883124938,1.0404565014687917,1.485799866282268,1.9435611039061722,8
2025/2026,Monaco,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,8.145596381306012,11.7618230956806,15.444116964618912,1.0181995476632515,1.470227886960075,1.9305146205773644,8
2025/2026,Barcelona,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,8.293296444175073,11.705246970878592,15.225956052673196,1.0366620555218842,1.4631558713598243,1.9032445065841497,8
2025/2026,Qarabag FK,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,8.329502060633303,11.69394449616085,15.229105747161697,1.041187757579163,1.4617430620201062,1.9036382183952123,8
2025/2026,Kairat Almaty,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,8.423176094059402,11.671635239578286,15.010237254159595,1.0528970117574252,1.4589544049472858,1.8762796567699493,8
2025/2026,Inter,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,8.513847807858403,11.662953362553838,14.993140376463256,1.0642309759823003,1.4578691703192295,1.8741425470579072,8
2025/2026,Atalanta,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,8.06587637868212,11.559109481578648,15.176913560867067,1.0082345473352647,1.444888685197331,1.8971141951083834,8
2025/2026,Sporting CP,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,8.277124589310988,11.426732882396177,14.741822230288392,1.0346405736638735,1.4283416102995223,1.8427277787860488,8
2025/2026,Benfica,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,7.976908849943495,11.415262451673241,14.97904995084701,0.997113606242937,1.4269078064591552,1.8723812438558767,8
2025/2026,Liverpool,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,7.847520949206996,11.3373194583226,14.98704490235901,0.9809401186508744,1.4171649322903253,1.8733806127948762,8
2025/2026,Galatasaray,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,7.778150113499953,11.269851375321979,14.925535751249594,0.9722687641874941,1.4087314219152474,1.8656919689061993,8
2025/2026,Borussia Dortmund,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,7.784339012533357,11.267425098833625,14.887297588643852,0.9730423765666697,1.4084281373542034,1.8609121985804815,8
2025/2026,Manchester City,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,7.516475108037833,11.119260027011707,14.864954743027566,0.9395593885047291,1.3899075033764632,1.8581193428784457,8
2025/2026,Eintracht Frankfurt,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,7.504926132889724,10.954966042018622,14.593605686973008,0.9381157666112157,1.369370755252328,1.824200710871626,8
2025/2026,Club Brugge,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,7.679499237182782,10.950589719605286,14.430309318004992,0.9599374046478478,1.3688237149506608,1.803788664750624,8
2025/2026,Marseille,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,7.423071504944288,10.93050040671104,14.642163183159415,0.927883938118036,1.3663125508388798,1.8302703978949268,8
2025/2026,Bayer Leverkusen,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,7.340029518453882,10.887727455523764,14.56930829277962,0.9175036898067351,1.3609659319404706,1.8211635365974526,8
2025/2026,Bodø/Glimt,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,7.316312938413822,10.862543505198266,14.591065146505722,0.9145391173017279,1.3578179381497835,1.8238831433132152,8
2025/2026,Slavia Prague,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,7.46064546583079,10.812987809208895,14.430050376062464,0.9325806832288487,1.3516234761511121,1.803756297007808,8
2025/2026,Bayern München,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,7.47031934977455,10.787750781020591,14.269703927895208,0.9337899187218187,1.3484688476275741,1.783712990986901,8
2025/2026,Atletico Madrid,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,7.1128449251725385,10.382103109491222,13.871128024773869,0.8891056156465673,1.2977628886864028,1.7338910030967338,8
2025/2026,Athletic Club,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,6.9920427532511376,10.34860881560993,14.020355275767049,0.8740053441563921,1.2935761019512413,1.752544409470881,8
2025/2026,Newcastle United,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,6.877699819134136,10.31422198920232,14.051053955435824,0.8597124773917669,1.28927774865029,1.7563817444294778,8
2025/2026,Union St.Gilloise,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,6.55204997544475,9.966945806259748,13.68726126176668,0.8190062469305938,1.2458682257824685,1.710907657720835,8
2025/2026,PSV Eindhoven,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,6.555622186512532,9.962002730470203,13.65796984473467,0.8194527733140666,1.2452503413087752,1.7072462305918337,8
2025/2026,Paris Saint-Germain,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,6.159439538539395,9.557577350876379,13.343212772804758,0.7699299423174244,1.1946971688595474,1.6679015966005948,8
